name,birthyear,age
priscilla lopes schliep,1982,41
andreas thorkildsen,1982,41
ainars kovals,1981,42
tero pitkamaki,1982,41
edwin cheruiyot soi,1986,37
jeremy wariner,1984,39
david neville,1984,39
steve hooker,1982,41
evgeniy lukyanenko,1985,38
derek miles,1972,51
tia hellebaut,1978,45
chaunte howard,1984,39
melaine walker,1983,40
sheena tosta,1982,41
tasha danvers,1977,46
kerron stewart,1984,39
constantina tomescu,1970,53
catherine ndereba,1972,51
chunxiu zhou,1978,45
sylvia jebiwott kibet,1984,39
asbel kiprop,1989,34
mehdi baala,1978,45
sherone simpson,1984,39
angelo taylor,1978,45
bershawn jackson,1983,40
goldie sayers,1982,41
gulnara galkina samitova,1978,45
eunice jepkorir,1982,41
pamela jelimo,1989,34
janeth jepkosgei busienei,1983,40
hasna benhassi,1978,45
yipsi moreno,1980,43
manuela montebrun,1979,44
brimin kiprop kipruto,1985,38
richard kipkemboi mateelong,1983,40
shericka williams,1985,38
anastasia davydova,1983,40
gemma mengual,1977,46
saho harada,1982,41
emiko suzuki,1981,42
min ho choi,1980,43
ludwig paischer,1981,42
ruben houkes,1979,44
tiago camilo,1982,41
roman gontiuk,1984,39
masato uchishiba,1978,45
benjamin darbelet,1980,43
yordanis arencibia,1980,43
chol min pak,1982,41
xiuli yang,1983,40
yalennis castillo,1986,37
gyeong mi jeong,1985,38
stephanie possamai,1980,43
ryoko tani,1975,48
masae ueno,1979,44
anaysi hernandez,1981,42
ronda rousey,1987,36
dongmei xian,1975,48
soraya haddad,1984,39
askhat zhitkeyev,1981,42
movlud miraliyev,1974,49
elnur mammadli,1988,35
ki chun wang,1988,35
rasul boqiev,1982,41
leandro guilheiro,1983,40
maki tsukada,1982,41
lucija polavder 1,1984,39
satoshi ishii,1986,37
abdullo tangriev,1981,42
oscar brayson,1985,38
irakli tsirekidze,1982,41
amar benikhlef,1982,41
sergei aschwanden,1975,48
hesham misbah,1982,41
giulia quintavalle,1983,40
deborah gravenstijn,1974,49
ketleyn quadros,1987,36
yan xu,1981,42
ayumi tanimoto,1981,42
elisabeth willeboordse,1978,45
ok im won,1986,37
rolf goran bengtsson,1962,61
beezie madden,1963,60
dmitriy klokov 1,1983,40
marcin dolega,1982,41
szymon kolecki,1981,42
arsen kasabijew,1987,36
yohandrys hernandez,1980,43
yong lu,1986,37
tigran varban martirosyan,1983,40
jadier valladares,1982,41
oxana slivenko,1986,37
leidy yessenia solis arboleda,1990,33
anh tuan hoang,1985,38
wei ling chen,1982,41
pensiri laosirikul,1984,39
alla vazhenina,1983,40
damaris aguirre,1977,46
matthias steiner,1982,41
evgeny chigishev,1979,44
viktors scerbatihs,1974,49
hyon suk pak,1985,38
ying chi lu,1985,38
hui liao,1987,36
vencelas dabaya tientcheu,1981,42
yordanis borrero,1978,45
xiangxiang zhang,1983,40
diego fernando salazar,1980,43
ele opeloge,1985,38
maryam usman,1990,33
yanqing chen,1979,44
jong ae o,1984,39
wandee kameaim,1978,45
jaehyouk sa,1985,38
hongli li,1980,43
gevorg davtyan,1983,40
prapawadee jaroenrattanatarakoon,1984,39
raema lisa rumbewas,1980,43
alexandre despatie,1985,38
jingjing guo,1981,42
ioulia pakhalina,1977,46
anastasia pozdnyakova,1985,38
ditte kotzian,1979,44
heike fischer,1982,41
liang huo,1989,34
sascha klein,1985,38
gleb galperin,1985,38
dmitriy dobroskok,1984,39
feng wang 1,1979,44
dmitry sautin,1974,49
yuriy kunakov,1990,33
illya kvasha,1988,35
oleksiy prygorov,1987,36
xin wang 1,1992,31
matthew mitcham,1988,35
luxin zhou,1988,35
briony cole,1983,40
tatiana ortiz,1984,39
julien absalon,1980,43
jean christophe peraud,1977,46
irina kalentyeva,1977,46
hinrich romeike,1963,60
gina miles,1973,50
kristina cook,1970,53
paul goodison,1977,46
diego emilio romero,1974,49
fernando echavarri,1972,51
anton paz blanco,1976,47
darren bundock,1971,52
glenn ashby,1977,46
carlos espinola,1971,52
elise rechichi,1986,37
tessa parkinson,1986,37
marcelien bos de koning,1978,45
fernanda oliveira,1980,43
isabel swan,1983,40
jian yin,1978,45
alessandra sensini,1970,53
bryony shaw,1983,40
jonas warrer,1979,44
martin kirketerp ibsen,1982,41
iker martinez,1977,46
xabier fernandez gaztanaga,1976,47
jan peter peckolt,1981,42
hannes peckolt,1982,41
anna tunnicliffe,1982,41
gintare scheidt,1982,41
tom ashley,1984,39
julien bontemps,1979,44
shahar zubari,1986,37
anders ekstrom,1981,42
zach railey,1984,39
guillaume florent,1973,50
nathan wilmot,1979,44
nicholas rogers,1977,46
joe glanfield,1979,44
nicolas charbonnier,1981,42
olivier bausset,1982,41
tore brovold,1970,53
anthony terras,1985,38
abhinav bindra,1982,41
qinan zhu,1984,39
henri hakkinen,1980,43
natalia paderina,1975,48
nino salukvadze,1969,54
alexei alipov,1975,48
gundegmaa otryad,1978,45
munkhbayar dorjsuren,1969,54
katerina emmons,1983,40
eglys cruz,1980,43
jason turner 1,1975,48
oleksandr petriv,1974,49
ralf schumann,1962,61
lyubov galkina,1973,50
snjezana pejcic,1982,41
zongliang tan,1971,52
vladimir isakov,1970,53
walton eller,1982,41
francesco d aniello 1,1969,54
binyuan hu,1977,46
satu makela nummela,1970,53
christine brinker,1981,42
artur aivazian,1973,50
warren potent,1962,61
jian qiu,1975,48
yuriy sukhorukov,1968,55
ning zhang,1975,48
xingfang xie,1981,42
maria kristin yulianti,1985,38
jing du,1984,39
yang yu 1,1986,37
hyojung lee,1981,42
kyungwon lee,1980,43
yili wei,1982,41
yawen zhang,1985,38
nova widianto,1977,46
hanbin he,1986,37
markis kido,1984,39
hendra setiawan,1984,39
jaejin lee,1983,40
jiman hwang,1984,39
jin chen,1986,37
jia tian,1981,42
jie wang,1983,40
chen xue,1989,34
xi zhang,1985,38
todd rogers,1973,50
phil dalhausser,1980,43
ricardo,1993,30
annica van grunsven,1968,55
heike kemmer,1962,61
stan wawrinka,1985,38
simon aspelin,1974,49
thomas johansson 1,1975,48
dinara safina,1986,37
vera zvonareva,1984,39
fernando gonzalez 2,1980,43
novak djokovic,1987,36
anabel medina garrigues,1982,41
zi yan,1984,39
jie zheng,1983,40
inna zhukova,1986,37
lin ma 1,1980,43
liqin wang,1978,45
yining zhang,1981,42
nan wang 5,1978,45
yue guo,1988,35
aneta konieczna,1978,45
marie delattre demory,1981,42
anne laure viard 1,1981,42
guanliang meng,1977,46
wenjun yang,1983,40
sergey ulegin,1977,46
alexander kostoglod,1974,49
christian gille,1976,47
tomasz wylenzek,1983,40
gyorgy kozmann,1978,45
tamas kiss,1987,36
kim wraae knudsen,1977,46
rene holten,1988,35
andrea facchin,1978,45
antonio massimiliano scaduto,1977,46
maksim opalev,1979,44
carlos perez 3,1979,44
tim wieskotter,1979,44
tim brabants,1977,46
josefa idem,1964,59
katrin wagner,1977,46
attila sandor vajda,1983,40
thomas hall,1982,41
maarten van der weijden,1981,42
david davies 1,1985,38
larisa ilchenko,1988,35
keri anne payne,1987,36
cassandra patten,1987,36
yoanka gonzalez perez,1976,47
leire olaberria dorronsoro,1977,46
rebecca romero,1980,43
wendy houvenaghel,1974,49
ross edgar,1983,40
kiyofumi nagai,1983,40
hayden roulston,1981,42
steven burke,1988,35
joan llaneras,1969,54
roger kluge,1986,37
chris newton,1973,50
juan esteban curuchet,1965,58
walter fernando perez,1975,48
antonio tauler,1974,49
mikhail ignatyev,1985,38
alexey markov,1979,44
mickael bourgain,1980,43
kosuke kitajima,1982,41
brenton rickard,1983,40
hugues duboscq,1981,42
natalie coughlin,1982,41
kirsty leigh coventry,1983,40
margaret hoelzer,1983,40
katie hoff,1989,34
joanne jackson,1986,37
alessia filippi,1987,36
lotte friis,1988,35
amaury leveaux,1985,38
alain bernard,1983,40
grant hackett,1980,43
milorad cavic,1984,39
andrew lauterstein,1987,36
aaron peirsol,1983,40
arkady vyatchanin,1984,39
hayden stoeckel,1984,39
leisel jones,1985,38
mirna jukic,1986,37
zige liu,1989,34
jessicah schipper,1986,37
libby trickett,1985,38
christine magnuson,1985,38
sara nordenstam,1983,40
stephanie rice,1988,35
eamon sullivan,1985,38
jason lezak,1975,48
britta steffen,1983,40
dara torres,1967,56
reiko nakamura,1982,41
federica pellegrini,1988,35
sara isakovic,1988,35
jiaying pang,1985,38
alexander dale oen,1985,38
lin zhang,1987,36
larsen jensen,1985,38
jaroslav volf,1979,44
ondrej stepanek,1979,44
mikhail kuznetsov,1985,38
dmitry larionov,1985,38
alexander grimm,1986,37
fabien lefevre,1982,41
benjamin boukpeti,1981,42
robin bell,1977,46
elena kaliska,1972,51
jacqueline lawrence,1982,41
violetta oblinger peters 1,1977,46
jason burnett,1986,37
karen cockburn,1980,43
ekaterina khilko,1982,41
lena schoneborn,1986,37
heather fell,1983,40
andrey moiseev,1979,44
edvinas krungolcas,1973,50
andrejus zadneprovskis,1974,49
shawn johnson,1992,31
anastasia liukin,1989,34
fei cheng,1988,35
jonathan horton,1985,38
oksana chusovitina,1975,48
leszek blanik,1977,46
thomas bouhail,1986,37
anton golotsutskov,1985,38
wey yang,1980,43
oleksandr vorobiov,1984,39
yilin yang,1992,31
qin xiao,1985,38
filip ude,1986,37
benoit caranobe,1980,43
xiaopeng li,1981,42
anton fokin,1982,41
gervasio deferr,1980,43
michael greis,1976,47
tomasz sikora,1973,50
anna carin olofsson 1,1973,50
kati wilhelm,1976,47
uschi disl,1970,53
svetlana ishmouratova,1972,51
martina glagow,1979,44
albina akhatova,1976,47
sven fischer,1971,52
halvard hanevold,1969,54
frode andresen,1973,50
florence baverel robert,1974,49
vincent defrasne,1977,46
hilde g pedersen,1964,59
giorgio di centa,1972,51
mikhail botvinov,1967,56
bjoern lind,1978,45
roddy darragon,1983,40
thobias fredriksson,1975,48
jens arne svartedal,1976,47
ivan alypov,1982,41
vasily rotchev,1980,43
andrus veerpalu,1971,52
chandra crawford,1983,40
alena sidko,1979,44
katerina neumannova,1973,50
evgenia medvedeva x6542,1976,47
frode estil,1972,51
lina andersson,1981,42
sara renner,1976,47
beckie scott,1974,49
virpi kuitunen,1976,47
janica kostelic,1982,41
michaela dorfmeister,1973,50
alexandra meissnitzer,1973,50
benjamin raich,1978,45
reinfried herbst,1978,45
rainer schoenfelder,1977,46
tanja poutiainen,1980,43
anna ottosson,1976,47
martina schild,1981,42
joel chenal,1973,50
hermann maier,1972,51
antoine deneriaz,1976,47
michael walchhofer,1975,48
bruno kernen,1972,51
kjetil andre aamodt,1971,52
ambrosi hoffmann,1977,46
sylke otto,1969,54
silke kraushaar,1970,53
andre florschutz,1976,47
torsten wustlich,1977,46
gerhard plankensteiner,1971,52
oswald haselrieder,1971,52
martins rubenis,1978,45
mikko ronkainen,1978,45
toby dawson,1978,45
kari traa,null3496,NaN
sandra laoura,1980,43
xiaopeng han,1983,40
vladimir lebedev,1984,39
evelyne leu,1976,47
alisa camplin,1974,49
cindy klassen,1979,44
svetlana zhurova,1972,51
manli wang,1973,50
hui ren,1983,40
carl verheijen,1975,48
joey cheek,1979,44
erben wennemars,1975,48
enrico fabris,1981,42
renate groenewold,1976,47
dmitry dorofeyev,1976,47
kang seok lee,1985,38
claudia pechstein,1972,51
marianne timmer,1974,49
anni friesinger,1977,46
georg hettich,1978,45
felix gottwald,1976,47
shizuka arakawa,1981,42
sasha cohen,1984,39
irina slutskaya,1979,44
maxim marinin,1977,46
dan zhang 1,1985,38
hao zhang 1,1984,39
stephane lambiel,1985,38
jeffrey buttle,1982,41
tatyana navka,1975,48
roman kostomarov,1977,46
tanith belbin,1984,39
benjamin agosto,1982,41
ruslan goncharov,1973,50
sandra kiriasis,1975,48
anja schneiderheinze,1978,45
shauna rohbock,1977,46
valerie fleming,1976,47
gerda weissensteiner 1,1969,54
jennifer isacco,1977,46
pierre lueders 1,1970,53
lascelles brown,1974,49
martin annen,1974,49
thomas morgenstern,1986,37
andreas kofler,1984,39
lars bystoel,1978,45
matti hautamaeki,1981,42
roar ljoekelsoey,1976,47
duff gibson,1966,57
jeff pain,1970,53
gregor staehli,1968,55
maya pedersen,1972,51
shelley rudman,1981,42
mellisa hollingsworth,1980,43
sun yu jin,1988,35
yang yang a,1976,47
evgeniya radanova,1977,46
anouk leblanc boucher,1984,39
jiajun li,1975,48
eun kyung choi,1984,39
daniela meuli,1981,42
rosey fletcher,1975,48
tanja frieden,1976,47
philipp schoch,1979,44
simon schoch,1978,45
siegfried grabner,1975,48
gretchen bleiler,1981,42
kjersti buaas,1982,41
radoslav zidek,1981,42
paul henri de le rue,1984,39
daniel kass,1982,41
markku koski,1981,42
james tomkins,1965,58
sinisa skelin,1974,49
niksa skelin,1978,45
donovan cech,1974,49
ramon di clemente,1975,48
katrin rutschow stomporowski,1975,48
sebastien vieilledent,1976,47
adrien hardy,1978,45
rossano galtarossa,1972,51
tomasz kucharski,1974,49
robert sycz,1973,50
frederic dufour,1976,47
pascal touron,1973,50
nikolaos skiathitis,1981,42
ivo yanakiev,1975,48
catherine bishop,1971,52
peggy waleska,1980,43
britta oppelt,1978,45
sarah winckless,1973,50
constanta burcica,1971,52
angela alupei,1972,51
daniela reimer,1982,41
claudia blasberg,1975,48
danny mcfarlane 1,1972,51
naman keita,1978,45
paul kipsiele koech 1,1981,42
tatyana lebedeva,1976,47
irina simagina,1982,41
tatyana kotova,1976,47
stefano baldini,1971,52
mebrahtom keflezighi,1975,48
vanderlei de lima,1969,54
osleidys menendez,1979,44
steffi nerius,1972,51
mirella maniani tzelili,1976,47
hicham el guerrouj,1974,49
bernard lagat,1974,49
rui silva,1977,46
tonique williams darling,1976,47
ana guevara,1977,46
kelly holmes,1970,53
tatyana tomashova,1975,48
maria cioncan,1977,46
hrysopiyi devetzi 1,1975,48
xiang liu 1,1983,40
terrence trammell,1978,45
anier garcia,1976,47
ivano brugnetti,1976,47
francisco javier fernandez,1977,46
nathan deakes,1977,46
robert korzeniowski,1968,55
aleksey voyevodin,1970,53
adam nelson,1975,48
joachim broechner olsen,1977,46
manuel martinez,1974,49
mbulaeni mulaudzi,1980,43
wilson kipketer,1972,51
otis harris,1982,41
derrick brew,1977,46
timothy mack,1972,51
toby stevenson,1976,47
giuseppe gibilisco,1979,44
athanasia tsoumeleka,1982,41
olimpiada ivanova,1970,53
jane saville,1974,49
mizuki noguchi,1978,45
deena kastor,1973,50
christian olsson,1980,43
marian oprea,1982,41
danil burkenya,1978,45
stefan holm,1976,47
matt hemingway,1972,51
jaroslav baba,1984,39
vadims vasilevskis,1982,41
sergey makarov,1973,50
olga kuzenkova,1970,53
yunaika crawford,1982,41
dwight phillips,1977,46
john moffitt,1980,43
joan lino martinez,1978,45
fani chalkia,1979,44
ionela tirlea manolache,1976,47
tetiana tereshchuk antipova,1969,54
zersenay tadesse,1982,41
debbie ferguson mckenzie,1976,47
yumileidi cumba,1975,48
nadine kleinert,1975,48
anna rogowska,1981,42
huina xing,1984,39
ejegayehu dibaba 1,1982,41
derartu tulu,1972,51
jolanda ceplak,1976,47
elena slesarenko,1982,41
hestrie cloete,1978,45
vita styopina,1976,47
francis obikwelu,1978,45
maurice greene,1974,49
natalya sadova 1,1972,51
anastasia kelesidou,1972,51
vera pospisilova cechlova,1978,45
yuliya nestsiarenka,1979,44
roman sebrle,1974,49
dmitriy karpov,1981,42
isabella ochichi,1979,44
joanna hayes,1976,47
melissa morrison,1971,52
bernard williams,1978,45
carolina kluft,1983,40
zoltan kovago,1979,44
aleksander tammert,1973,50
anna dogonadze lilkendey,1973,50
yuriy nikitin,1978,45
alexander moskalenko,1969,54
henrik stehlik,1980,43
vyacheslav ekimov,1966,57
bobby julich,1971,52
michael rogers,1979,44
paolo bettini,1974,49
sergio paulinho,1980,43
axel merckx,1972,51
sara carrigan,1980,43
olga slyusareva,1969,54
leontien zijlaard van moorsel,1970,53
deirdre demet barry,1972,51
leslie law,1965,58
kimberly severson,1973,50
pippa funnell,1968,55
hyang mi kim,1979,44
kyung ah kim,1977,46
seung min ryu,1982,41
eun sil lee 1,1976,47
eun mi suk,1976,47
jianfeng niu,1981,42
lai chak ko,1976,47
ching li,1975,48
michael maze,1981,42
finn tugwell,1976,47
yandro miguel quintana,1980,43
kenji inoue,1976,47
ramaz nozadze,1983,40
mehmet ozal,1973,50
patricia miranda,1979,44
xu wang,1985,38
anna gomis,1973,50
seref eroglu,1975,48
mkhitar manukyan,1973,50
aleksei mishin 1,1979,44
ara abrahamian,1975,48
vyacheslav makarenko,1975,48
cael sanderson,1979,44
sazhid sazhidov,1980,43
sara mcmann,1980,43
lise legrand,1976,47
stephen abas,1978,45
chikara tanabe,1975,48
gennadiy laliyev,1979,44
ivan fundora,1976,47
khasan baroev,1982,41
georgiy tsurtsumia,1980,43
rulon gardner,1971,52
roberto monzon,1978,45
armen nazaryan 1,1974,49
khadzhimurat gatcalov,1982,41
magomed ibragimov 1,1983,40
alireza heidari,1976,47
artur taymazov,1979,44
alireza rezaei,1976,47
elbrus tedeyev,1974,49
jamill kelly,1977,46
makhach murtazaliev,1984,39
marko yli hannuksela,1973,50
varteres samurgashev,1979,44
istvan majoros,1974,49
artiom kiouregkian,1976,47
wei luo,1983,40
elisavet mystakidou,1977,46
oscar francisco salazar blanco,1977,46
tamer bayoumi,1982,41
chih hsiung huang,1976,47
myeong seob song,1984,39
shih hsin chen,1978,45
yanelis yuliet labrada diaz,1981,42
yaowapa boorapolchai,1984,39
bahri tanrikulu,1980,43
yousef karami,1983,40
ji won jang,1979,44
nia abdallah,1984,39
iridia salazar blanco,1982,41
pascal gentil,1973,50
zhong chen,1982,41
myriam baverel,1981,42
adriana carmona gutierrez,1972,51
belem guerrero mendez,1974,49
maria luisa calle williams,1968,55
bradley mcgee,1976,47
sergi escobar,1974,49
sarah ulmer,1976,47
katie mactier,1975,48
ryan bayley,1982,41
jose escuredo,1970,53
shane kelly,1972,51
theo bos,1983,40
rene wolff,1978,45
arnaud tournant,1978,45
stefan nimke,1978,45
lori ann muenzer,1966,57
guido fulst,1970,53
yonghua jiang,1973,50
graeme brown,1979,44
stuart ogrady,1973,50
franco marvulli,1978,45
bruno risi,1968,55
rob hayles,1973,50
ulla salzgeber,1958,65
beatriz ferrer,1966,57
takashi yamamoto,1978,45
steve parry,1977,46
ian crocker,1982,41
andriy serdinov,1982,41
duje draganja,1983,40
roland schoeman,1980,43
otylia jedrzejczak,1983,40
petria thomas,1975,48
yuko nakanishi,1981,42
ai shibata,1982,41
laure manaudou,1986,37
diana munz,1982,41
stanislava komarova,1986,37
antje buschschulte,1978,45
erik vendt,1981,42
ian thorpe,1982,41
pieter van den hoogenband,1978,45
klete keller,1982,41
markus rogan,1982,41
tomomi morita,1984,39
yana klochkova,1982,41
amanda beard,1981,42
jodie henry,1983,40
inge de bruijn,1973,50
kaitlin sandeno,1983,40
george bovell,1983,40
anne poleska,1980,43
razvan ionut florea,1980,43
malia metella,1982,41
georgina bardach,1983,40
xuejuan luo,1984,39
brooke hanson,1978,45
camelia alina potec,1982,41
solenne figues,1979,44
udomporn polsak,1981,42
mabel mosquera,1969,54
hossein reza zadeh,1978,45
velichko cholakov,1982,41
zhiyong shi,1980,43
maosheng le,1978,45
israel jose rubio,1981,42
nurcan taylan,1983,40
zhuo li,1981,42
aree wiratthaworn,1980,43
nataliya skakun,1981,42
chunhong liu,1985,38
eszter krutzler,1981,42
zarema kasaeva,1987,36
george asanidze,1975,48
pyrros dimas,1971,52
taner sagir,1985,38
sergey filimonov,1975,48
milen dobrev,1980,43
khadzhimurat akkaev,1985,38
eduard tyukin,1978,45
song hui ri,1978,45
pawina thongsuk,1979,44
natalya zabolotnaya,1985,38
valentina popova,1960,63
gonghong tang,1979,44
agata wrobel,1981,42
dmitry berestov,1980,43
igor razoronov,1970,53
gleb pisarevskiy,1976,47
guozheng zhang,1974,49
nikolay pechalov,1970,53
halil mutlu,1973,50
meijin wu,1980,43
sedat artuc,1976,47
marco galiazzo,1983,40
hiroshi yamamoto,1962,61
tim cuddihy,1987,36
sung jin lee,1985,38
alison williamson,1971,52
alina kabaeva,1983,40
irina tchachina,1982,41
nicolas massu,1979,44
mardy fish,1981,42
ting li 2,1980,43
tiantian sun,1981,42
conchita martinez,1972,51
paola suarez,1976,47
patricia tarabini,1968,55
justine henin hardenne,1982,41
amelie mauresmo,1979,44
alicia molik,1981,42
nicolas kiefer,1977,46
rainer schuettler,1976,47
mario ancic,1984,39
ivan ljubicic,1979,44
valentina turisini,1969,54
chengyi wang,1983,40
jasna sekaric,1965,58
lenka hykova,1985,38
jie li 3,1979,44
jozef gonci,1974,49
andrea benelli,1960,63
marko kemppainen,1976,47
juan miguel rodriguez martinez,1967,56
bo na lee,1981,42
e gao,1962,61
mikhail nestruev,1968,55
adam vella,1971,52
suzanne balogh,1973,50
maria quintanal zubizarreta,1969,54
yifu wang,1960,63
diana igaly,1965,58
zemfira meftakhetdinova,1963,60
shaikh ahmed almaktoum,1963,60
rajyavardhan s rathore,1970,53
zheng wang,1979,44
manfred kurzer,1970,53
alexander blinov,1981,42
dimitri lykin,1974,49
christian lusch,1981,42
zhanbo jia,1974,49
michael anti,1964,59
christian planer,1975,48
sergei alifirenko 1,1959,64
marie helene premont,1977,46
jose antonio hermida ramos,1978,45
bart brentjens,1968,55
rodrigo pessoa,1972,51
chris kappler,1967,56
marco kutscher,1975,48
zsuzsanna voros,1977,46
elena rublevska,1976,47
georgina harland,1978,45
libor capalini,1973,50
monica rosu,1987,36
annia hatch,1978,45
anna pavlova,1987,36
dimosthenis tampakos,1976,47
juri chechi,1969,54
paul hamm,1982,41
dae eun kim,1984,39
taeyoung yang,1980,43
carly patterson,1988,35
alexandra georgiana eremia,1987,36
nicoleta daniela sofronie,1988,35
patricia moreno,1988,35
haibin teng,1985,38
marius daniel urzica,1975,48
takehiro kashima,1980,43
valeriy goncharov,1977,46
hiroyuki tomita,1980,43
svetlana khorkina,1979,44
nan zhang 1,1986,37
evgeni sapronenko,1978,45
marian dragulescu,1980,43
kyle shewfelt,1982,41
emilie lepennec,1987,36
terin humphrey,1986,37
courtney kupets,1986,37
igor cassina,1977,46
isao yoneda,1977,46
aldo montano,1978,45
zsolt nemcsik,1977,46
vladislav tretiak,1980,43
marcel fischer,1978,45
lei wang 3,1981,42
pavel kolobkov,1969,54
xue tan,1984,39
giovanna trillini,1970,53
sylwia gruchala 1,1981,42
timea nagy 1,1970,53
laura flessel colovic,1971,52
maureen nisima,1981,42
brice guyart,1981,42
andrea cassara,1984,39
benoit peschier,1980,43
campbell walsh,1977,46
stefan pfannmoeller,1980,43
rebecca giddens,1977,46
helen reeves,1980,43
marcus becker,1981,42
stefan henze,1981,42
song guk kim 1,1984,39
vitali tajbert,1982,41
seok hwan jo,1979,44
bakhtiyar artayev,1983,40
lorenzo aragon,1974,49
oleg saitov,1974,49
yan bhartelemy varela,1980,43
atagun yalcinkaya,1986,37
sergey kazakov,1976,47
mario cesar kindelan mesa,1971,52
amir khan,1986,37
serik yeleuov,1980,43
murat khrachev,1983,40
yudel johnson cedeno,1981,42
boris georgiev,1982,41
ionut gheorghe,1984,39
odlanier solis fonte,1980,43
viktar zuyev,1983,40
naser al shami,1982,41
alexander povetkin,1979,44
mohamed aly,1975,48
michel lopez nunez,1976,47
guillermo rigondeaux ortiz,1980,43
worapoj petchkoom,1981,42
yuriorkis gamboa toledano,1981,42
jerome thomas,1979,44
rustamhodza rahimov,1975,48
fuad aslanov,1976,47
gaydarbek gaydarbekov,1976,47
gennadiy golovkin,1982,41
andre dirrell,1983,40
suriya prasathinphimai,1980,43
andre ward,1984,39
magomed ariphajiyev,1977,46
utkirbek haydarov,1974,49
ahmed ismail,1975,48
taufik hidayat,1981,42
seung mo shon 1,1980,43
sony dwi kuncoro,1984,39
jun zhang,1977,46
ling gao,1979,44
nathan robertson,1977,46
gail emms,1977,46
jens dyrloev eriksen,1969,54
mette schjoldager,1977,46
mi zhou,1979,44
jiewen zhang,1981,42
wei yang 1,1979,44
sui huang,1982,41
dong moon kim,1975,48
tae kwon ha,1975,48
dong soo lee,1974,49
flandy limpele,1974,49
javier bosma minguez,1969,54
pablo herrera,1982,41
patrick heuscher,1976,47
stefan kobel,1974,49
adriana behar,1969,54
holly mcpeak,1969,54
elaine youngs,1970,53
gal fridman,1975,48
nikolaos kaklamanakis,1968,55
rodion luka,1972,51
georgii leonchuk,1974,49
chris draper,1978,45
simon hiscocks,1973,50
rafael trujillo,1975,48
mateusz kusznierewicz,1975,48
sofia bekatorou,1977,46
aimilia tsoulfa,1973,50
natalia via dufresne,1973,50
sandra azon,1973,50
therese torgersson,1976,47
vendela zachrisson,1978,45
torben grael,1960,63
marcelo ferreira,1965,58
ross macdonald,1965,58
mike wolfs,1970,53
xavier rohart,1968,55
pascal rambeau,1972,51
roman hagara,1966,57
hans peter steinacher,1968,55
johnny lovell,1967,56
charlie ogletree,1967,56
paul foerster,1963,60
kevin burnham,1956,67
kazuto seki,1975,48
kenjiro todoroki,1975,48
siren sundby,1982,41
lenka smidova,1975,48
signe livbjerg,1980,43
andreas geritzer,1977,46
faustine merret,1978,45
vera ilyina,1974,49
irina lashko,1973,50
chantelle michell,1977,46
lishi lao,1987,36
loudy tourky,1979,44
bo peng 1,1981,42
jia hu,1983,40
mathew helm,1980,43
liang tian 1,1979,44
jinghui yang,1983,40
peter waterfield,1981,42
leon taylor,1977,46
robert newbery,1979,44
ting li,1987,36
natalia goncharova,1988,35
yulia koltunova,1989,34
blythe hartley,1982,41
nikolaos siranidis,1976,47
thomas bimis,1975,48
andreas wels,1975,48
tobias schellenberg,1978,45
steven barnett,1979,44
yuki yokosawa,1980,43
amarilys savon,1974,49
ilse heylen 1,1977,46
daima mayelis beltran,1972,51
tea donguzashvili,1976,47
fuming sun,1974,49
keiji suzuki,1980,43
tamerlan tmenov,1977,46
dennis van der geest,1975,48
indrek pertelson,1971,52
vitaliy makarov,1974,49
james pedro,1970,53
yvonne boenisch,1980,43
sun hui kye,1979,44
yurisleidy lupetey,1981,42
noriko anno,1976,47
xia liu,1979,44
lucia morico,1975,48
yurisel laborde,1979,44
sungho jang,1978,45
michael jurack,1979,44
arik zeevi,1977,46
dongya qin,1979,44
annett boehm,1980,43
jozef krnac,1977,46
georgi georgiev 4,1976,47
tadahiro nomura,1974,49
nestor khergiani,1975,48
tsagaanbaatar khashbaatar,1984,39
frederique jossinet,1975,48
julia matijass,1973,50
feng gao 1,1982,41
flavio canto,1975,48
claudia heill,1982,41
driulys gonzalez,1973,50
zurab zviadauri,1981,42
hiroshi izumi,1982,41
khasanbi taov,1977,46
mark huizinga,1973,50
gyorgy kolonics,1972,51
clint robinson,1972,51
nathan baggaley,1975,48
caroline brunet,1969,54
andreas dittmer,1972,51
birgit fischer,1962,61
carolin leonhardt,1984,39
beata sokolowska kulesza,1974,49
markus oscarsson,1977,46
henrik nilsson 1,1976,47
antonio rossi,1968,55
beniamino bonomi,1968,55
nils olav fjeldheim,1977,46
ben fouhy,1979,44
ian wynne,1973,50
ibrahim rojas blanco,1975,48
ledys frank balceiro,1975,48
hamish carter,1971,52
sven riederer,1981,42
kate allen,1970,53
loretta harrop,1975,48
susan williams,1969,54
miya tachibana,1974,49
miho takeda,1976,47
alison bartosik,1983,40
anna kozlova,1972,51
sven hannawald,1974,49
veronica brenner,1974,49
deidra dionne,1982,41
tae satoya,1976,47
janne lahtela,1974,49
travis mayer,1982,41
richard gay,1971,52
ales valenta,1973,50
joe pack,1978,45
andrea henkel,1977,46
liv grete poiree,1974,49
magdalena forsberg 1,1967,56
wolfgang perner,1967,56
olga pyleva,1975,48
irina nikoultchina,1974,49
raphael poiree,1974,49
ricco gross,1970,53
frank luck,1967,56
georg hackl,1966,57
markus prock,1964,59
brian martin,1974,49
mark grimmette,1971,52
chris thorpe,1970,53
